Driver,Team,Position,LapNumber,GapToLeader_sec
NOR,McLaren,5,4,7.588
NOR,McLaren,5,5,9.144
NOR,McLaren,5,6,9.541
NOR,McLaren,5,7,10.42
NOR,McLaren,5,8,10.529
NOR,McLaren,5,9,10.19
NOR,McLaren,5,10,11.373
NOR,McLaren,5,11,30.797
NOR,McLaren,5,12,22.932
NOR,McLaren,5,13,17.205
NOR,McLaren,5,14,14.344
NOR,McLaren,5,15,15.303
NOR,McLaren,5,16,16.292
NOR,McLaren,5,17,17.58
NOR,McLaren,5,18,24.005
NOR,McLaren,5,19,24.818
NOR,McLaren,5,20,19.656
NOR,McLaren,5,21,20.958
NOR,McLaren,5,22,21.753
NOR,McLaren,5,23,22.459
NOR,McLaren,5,24,22.387
NOR,McLaren,5,25,23.008
NOR,McLaren,5,26,23.318
NOR,McLaren,5,27,24.026
NOR,McLaren,5,28,24.676
NOR,McLaren,5,29,25.27
NOR,McLaren,5,30,25.959
NOR,McLaren,5,31,26.906
NOR,McLaren,5,32,27.441
NOR,McLaren,5,33,28.393
NOR,McLaren,5,34,43.533
NOR,McLaren,5,35,49.95
NOR,McLaren,5,36,50.545
NOR,McLaren,5,37,51.154
NOR,McLaren,5,38,51.714
NOR,McLaren,5,39,52.977
NOR,McLaren,5,40,53.459
NOR,McLaren,5,41,54.148
NOR,McLaren,5,42,54.441
NOR,McLaren,5,43,54.834
NOR,McLaren,5,44,55.17
NOR,McLaren,5,45,54.579
NOR,McLaren,5,46,53.736
NOR,McLaren,5,47,53.481
NOR,McLaren,5,48,53.4
NOR,McLaren,5,49,53.36
NOR,McLaren,5,50,53.036
NOR,McLaren,5,51,52.872
NOR,McLaren,5,52,52.55
NOR,McLaren,5,53,51.839
NOR,McLaren,5,54,51.535
NOR,McLaren,5,55,51.732
NOR,McLaren,5,56,51.818
NOR,McLaren,5,57,52.046
NOR,McLaren,5,58,51.741
VER,Red Bull Racing,6,1,8.639
VER,Red Bull Racing,6,2,10.46
VER,Red Bull Racing,6,3,11.112
VER,Red Bull Racing,6,4,12.894
VER,Red Bull Racing,6,5,13.756
VER,Red Bull Racing,6,6,14.085
VER,Red Bull Racing,6,7,15.37
VER,Red Bull Racing,6,8,14.887
VER,Red Bull Racing,6,9,13.98
VER,Red Bull Racing,6,10,15.001
VER,Red Bull Racing,6,11,22.063
VER,Red Bull Racing,6,12,10.337
VER,Red Bull Racing,6,13,7.539
VER,Red Bull Racing,6,14,6.575
VER,Red Bull Racing,6,15,7.848
VER,Red Bull Racing,6,16,9.531
VER,Red Bull Racing,6,17,11.523
VER,Red Bull Racing,6,18,31.091
VER,Red Bull Racing,6,19,32.183
VER,Red Bull Racing,6,20,24.813
VER,Red Bull Racing,6,21,25.679
VER,Red Bull Racing,6,22,26.245
VER,Red Bull Racing,6,23,26.933
VER,Red Bull Racing,6,24,26.939
VER,Red Bull Racing,6,25,27.614
VER,Red Bull Racing,6,26,27.884
VER,Red Bull Racing,6,27,28.436
VER,Red Bull Racing,6,28,28.509
VER,Red Bull Racing,6,29,28.462
VER,Red Bull Racing,6,30,28.58
VER,Red Bull Racing,6,31,28.943
VER,Red Bull Racing,6,32,28.99
VER,Red Bull Racing,6,33,29.082
VER,Red Bull Racing,6,34,29.706
VER,Red Bull Racing,6,35,31.245
VER,Red Bull Racing,6,36,32.483
VER,Red Bull Racing,6,37,33.319
VER,Red Bull Racing,6,38,34.368
VER,Red Bull Racing,6,39,35.345
VER,Red Bull Racing,6,40,37.025
VER,Red Bull Racing,6,41,52.818
VER,Red Bull Racing,6,42,57.755
VER,Red Bull Racing,6,43,56.953
VER,Red Bull Racing,6,44,56.617
VER,Red Bull Racing,6,45,55.593
VER,Red Bull Racing,6,46,54.652
VER,Red Bull Racing,6,47,54.108
VER,Red Bull Racing,6,48,53.98
VER,Red Bull Racing,6,49,54.075
VER,Red Bull Racing,6,50,53.726
VER,Red Bull Racing,6,51,53.654
VER,Red Bull Racing,6,52,53.231
VER,Red Bull Racing,6,53,53.271
VER,Red Bull Racing,6,54,53.261
VER,Red Bull Racing,6,55,53.802
VER,Red Bull Racing,6,56,54.154
VER,Red Bull Racing,6,57,54.435
VER,Red Bull Racing,6,58,54.617
