Driver,DriverNumber,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Stint,Compound,TyreLife,FreshTyre,PitOutTime_sec,PitInTime_sec,Position,TrackStatus,IsPersonalBest,IsAccurate,Team
GAS,10,31.0,85.271,30.213,17.873,37.185,258.0,306.0,288.0,285.0,2.0,HARD,20.0,True,,,10.0,1,False,True,Alpine
GAS,10,32.0,85.202,30.2,17.946,37.056,258.0,303.0,295.0,282.0,2.0,HARD,21.0,True,,,10.0,1,False,True,Alpine
GAS,10,33.0,92.276,30.216,18.086,43.974,259.0,302.0,253.0,290.0,2.0,HARD,22.0,True,,,9.0,16,False,False,Alpine
GAS,10,34.0,91.244,35.755,18.14,37.349,265.0,300.0,293.0,248.0,2.0,HARD,23.0,True,,,9.0,671,False,False,Alpine
GAS,10,35.0,85.029,30.064,17.915,37.05,266.0,302.0,299.0,286.0,2.0,HARD,24.0,True,,,9.0,1,False,True,Alpine
GAS,10,36.0,85.177,29.89,17.876,37.411,264.0,306.0,291.0,296.0,2.0,HARD,25.0,True,,,9.0,1,False,True,Alpine
GAS,10,37.0,86.333,30.147,18.019,38.167,268.0,302.0,302.0,286.0,2.0,HARD,26.0,True,,,10.0,1,False,True,Alpine
GAS,10,38.0,86.094,30.547,17.76,37.787,261.0,315.0,294.0,263.0,2.0,HARD,27.0,True,,,9.0,1,False,True,Alpine
GAS,10,39.0,85.265,30.113,17.989,37.163,262.0,300.0,290.0,286.0,2.0,HARD,28.0,True,,,9.0,1,False,True,Alpine
GAS,10,40.0,86.132,30.738,17.773,37.621,265.0,307.0,298.0,271.0,2.0,HARD,29.0,True,,,10.0,1,False,True,Alpine
GAS,10,41.0,85.319,30.039,17.873,37.407,257.0,308.0,297.0,295.0,2.0,HARD,30.0,True,,,10.0,1,False,True,Alpine
GAS,10,42.0,84.879,29.776,17.899,37.204,270.0,304.0,293.0,306.0,2.0,HARD,31.0,True,,,10.0,1,False,True,Alpine
GAS,10,43.0,84.977,30.015,17.902,37.06,260.0,306.0,288.0,289.0,2.0,HARD,32.0,True,,,10.0,1,False,True,Alpine
GAS,10,44.0,85.028,29.992,17.897,37.139,261.0,304.0,296.0,290.0,2.0,HARD,33.0,True,,,10.0,1,False,True,Alpine
GAS,10,45.0,87.175,30.63,18.626,37.919,260.0,283.0,290.0,292.0,2.0,HARD,34.0,True,,,10.0,1,False,True,Alpine
GAS,10,46.0,85.353,30.097,17.911,37.345,264.0,305.0,289.0,286.0,2.0,HARD,35.0,True,,,10.0,1,False,True,Alpine
GAS,10,47.0,86.497,29.971,18.379,38.147,271.0,230.0,299.0,288.0,2.0,HARD,36.0,True,,,10.0,1,False,True,Alpine
GAS,10,48.0,84.982,29.911,17.794,37.277,264.0,307.0,294.0,294.0,2.0,HARD,37.0,True,,,10.0,1,False,True,Alpine
GAS,10,49.0,85.281,30.1,17.949,37.232,263.0,303.0,291.0,292.0,2.0,HARD,38.0,True,,,10.0,1,False,True,Alpine
GAS,10,50.0,84.927,30.004,17.925,36.998,271.0,302.0,292.0,293.0,2.0,HARD,39.0,True,,,10.0,1,False,True,Alpine
GAS,10,51.0,86.46,30.17,18.244,38.046,259.0,248.0,300.0,294.0,2.0,HARD,40.0,True,,,10.0,1,False,True,Alpine
GAS,10,52.0,86.527,31.448,17.854,37.225,258.0,309.0,297.0,290.0,2.0,HARD,41.0,True,,,10.0,1,False,True,Alpine
GAS,10,53.0,84.79,29.893,17.911,36.986,263.0,303.0,292.0,293.0,2.0,HARD,42.0,True,,,10.0,1,False,True,Alpine
GAS,10,54.0,84.52,29.789,17.954,36.777,269.0,302.0,292.0,295.0,2.0,HARD,43.0,True,,,10.0,1,False,True,Alpine
GAS,10,55.0,84.595,29.659,17.851,37.085,274.0,302.0,296.0,293.0,2.0,HARD,44.0,True,,,10.0,1,False,True,Alpine
GAS,10,56.0,84.486,29.844,17.894,36.748,262.0,302.0,298.0,298.0,2.0,HARD,45.0,True,,,10.0,1,True,True,Alpine
GAS,10,57.0,84.837,29.814,17.848,37.175,273.0,302.0,295.0,295.0,2.0,HARD,46.0,True,,,10.0,1,False,True,Alpine
PER,11,1.0,102.557,,19.226,40.448,229.0,290.0,303.0,200.0,1.0,MEDIUM,1.0,True,,,19.0,1,False,False,Cadillac
PER,11,2.0,88.763,31.753,18.188,38.822,251.0,312.0,305.0,238.0,1.0,MEDIUM,2.0,True,,,19.0,1,True,True,Cadillac
PER,11,3.0,88.094,31.672,18.037,38.385,253.0,311.0,298.0,260.0,1.0,MEDIUM,3.0,True,,,18.0,1,True,True,Cadillac
PER,11,4.0,87.222,30.827,18.195,38.2,255.0,307.0,298.0,280.0,1.0,MEDIUM,4.0,True,,,18.0,1,True,True,Cadillac
PER,11,5.0,88.025,31.295,18.506,38.224,256.0,300.0,292.0,291.0,1.0,MEDIUM,5.0,True,,,18.0,1,False,True,Cadillac
PER,11,6.0,87.595,31.178,18.288,38.129,259.0,302.0,289.0,269.0,1.0,MEDIUM,6.0,True,,,18.0,1,False,True,Cadillac
PER,11,7.0,87.625,31.003,18.3,38.322,258.0,300.0,296.0,273.0,1.0,MEDIUM,7.0,True,,,18.0,1,False,True,Cadillac
PER,11,8.0,87.184,30.946,18.193,38.045,257.0,302.0,296.0,281.0,1.0,MEDIUM,8.0,True,,,18.0,1,True,True,Cadillac
PER,11,9.0,87.05,30.807,18.233,38.01,256.0,300.0,296.0,292.0,1.0,MEDIUM,9.0,True,,,17.0,1,True,True,Cadillac
PER,11,10.0,87.595,30.981,18.397,38.217,257.0,294.0,296.0,284.0,1.0,MEDIUM,10.0,True,,,17.0,1,False,True,Cadillac
PER,11,11.0,97.875,31.102,18.422,48.351,257.0,294.0,219.0,292.0,1.0,MEDIUM,11.0,True,,,14.0,16,False,False,Cadillac
PER,11,12.0,116.537,43.311,24.555,48.671,206.0,181.0,256.0,177.0,1.0,MEDIUM,12.0,True,,,14.0,6,False,False,Cadillac
PER,11,13.0,110.001,41.541,26.385,42.075,222.0,124.0,300.0,157.0,1.0,MEDIUM,13.0,True,,,14.0,671,False,False,Cadillac
PER,11,14.0,87.084,30.356,18.641,38.087,248.0,291.0,292.0,291.0,1.0,MEDIUM,14.0,True,,,14.0,1,False,True,Cadillac
PER,11,15.0,88.137,30.957,18.323,38.857,255.0,298.0,294.0,273.0,1.0,MEDIUM,15.0,True,,,14.0,1,False,True,Cadillac
PER,11,16.0,91.277,31.938,19.006,40.333,245.0,286.0,274.0,252.0,1.0,MEDIUM,16.0,True,,,15.0,1,False,True,Cadillac
PER,11,17.0,88.615,31.493,18.417,38.705,257.0,299.0,297.0,254.0,1.0,MEDIUM,17.0,True,,,15.0,1,False,True,Cadillac
PER,11,18.0,126.084,35.121,24.446,66.517,234.0,163.0,,286.0,1.0,MEDIUM,18.0,True,,5418.038,16.0,126,False,False,Cadillac
PER,11,19.0,103.359,45.6,19.548,38.211,182.0,297.0,286.0,194.0,2.0,HARD,1.0,True,5439.693,,16.0,671,False,False,Cadillac
PER,11,20.0,86.49,30.352,18.323,37.815,256.0,290.0,289.0,273.0,2.0,HARD,2.0,True,,,16.0,1,True,True,Cadillac
PER,11,21.0,87.262,30.52,18.341,38.401,256.0,292.0,245.0,290.0,2.0,HARD,3.0,True,,,16.0,1,False,True,Cadillac
PER,11,22.0,89.083,32.306,18.051,38.726,259.0,301.0,253.0,255.0,2.0,HARD,4.0,True,,,16.0,1,False,True,Cadillac
PER,11,23.0,87.457,31.521,18.152,37.784,260.0,299.0,299.0,236.0,2.0,HARD,5.0,True,,,16.0,1,False,True,Cadillac
PER,11,24.0,89.284,30.505,18.594,40.185,256.0,242.0,285.0,295.0,2.0,HARD,6.0,True,,,16.0,1,False,True,Cadillac
PER,11,25.0,87.093,30.785,18.117,38.191,260.0,298.0,297.0,280.0,2.0,HARD,7.0,True,,,16.0,1,False,True,Cadillac
PER,11,26.0,88.588,32.306,18.158,38.124,256.0,303.0,297.0,297.0,2.0,HARD,8.0,True,,,16.0,1,False,True,Cadillac
PER,11,27.0,88.352,30.457,18.511,39.384,258.0,290.0,221.0,298.0,2.0,HARD,9.0,True,,,16.0,1,False,True,Cadillac
PER,11,28.0,89.249,31.333,18.077,39.839,258.0,302.0,299.0,253.0,2.0,HARD,10.0,True,,,16.0,1,False,True,Cadillac
PER,11,29.0,86.934,30.669,18.062,38.203,258.0,301.0,296.0,296.0,2.0,HARD,11.0,True,,,16.0,1,False,True,Cadillac
PER,11,30.0,87.419,30.911,18.227,38.281,255.0,296.0,297.0,281.0,2.0,HARD,12.0,True,,,16.0,1,False,True,Cadillac
PER,11,31.0,90.506,30.889,18.328,41.289,255.0,295.0,298.0,287.0,2.0,HARD,13.0,True,,,16.0,1,False,True,Cadillac
PER,11,32.0,94.972,31.025,19.385,44.562,257.0,295.0,162.0,285.0,2.0,HARD,14.0,True,,,16.0,16,False,False,Cadillac
PER,11,33.0,93.478,37.144,18.329,38.005,259.0,296.0,298.0,174.0,2.0,HARD,15.0,True,,,16.0,671,False,False,Cadillac
PER,11,34.0,87.151,30.958,18.172,38.021,256.0,298.0,299.0,289.0,2.0,HARD,16.0,True,,,16.0,1,False,True,Cadillac
PER,11,35.0,89.226,30.561,18.262,40.403,258.0,295.0,302.0,295.0,2.0,HARD,17.0,True,,,16.0,1,False,True,Cadillac
PER,11,36.0,88.891,30.652,18.755,39.484,260.0,227.0,301.0,289.0,2.0,HARD,18.0,True,,,16.0,1,False,True,Cadillac
PER,11,37.0,87.081,30.894,18.169,38.018,259.0,298.0,300.0,297.0,2.0,HARD,19.0,True,,,16.0,1,False,True,Cadillac
PER,11,38.0,86.93,30.567,18.38,37.983,261.0,293.0,301.0,294.0,2.0,HARD,20.0,True,,,16.0,1,False,True,Cadillac
PER,11,39.0,87.099,30.501,18.506,38.092,259.0,288.0,298.0,298.0,2.0,HARD,21.0,True,,,16.0,1,False,True,Cadillac
PER,11,40.0,89.198,32.609,18.222,38.367,257.0,302.0,299.0,296.0,2.0,HARD,22.0,True,,,16.0,1,False,True,Cadillac
PER,11,41.0,89.219,32.506,18.387,38.326,256.0,300.0,294.0,291.0,2.0,HARD,23.0,True,,,16.0,1,False,True,Cadillac
PER,11,42.0,87.956,30.996,18.189,38.771,258.0,297.0,249.0,275.0,2.0,HARD,24.0,True,,,16.0,1,False,True,Cadillac
PER,11,43.0,105.049,31.257,18.463,55.329,259.0,295.0,,266.0,2.0,HARD,25.0,True,,7667.788,16.0,1,False,False,Cadillac
PER,11,44.0,93.422,37.21,18.286,37.926,255.0,296.0,292.0,204.0,3.0,SOFT,1.0,True,7687.124,,16.0,1,False,False,Cadillac
PER,11,45.0,86.314,29.952,18.089,38.273,260.0,293.0,286.0,286.0,3.0,SOFT,2.0,True,,,16.0,1,True,True,Cadillac
PER,11,46.0,88.095,30.005,18.092,39.998,259.0,294.0,287.0,287.0,3.0,SOFT,3.0,True,,,16.0,1,False,True,Cadillac
PER,11,47.0,86.07,30.284,18.074,37.712,264.0,298.0,292.0,289.0,3.0,SOFT,4.0,True,,,16.0,1,True,True,Cadillac
PER,11,48.0,86.151,30.4,18.042,37.709,260.0,296.0,296.0,287.0,3.0,SOFT,5.0,True,,,16.0,1,False,True,Cadillac
PER,11,49.0,86.21,30.263,18.141,37.806,259.0,295.0,291.0,291.0,3.0,SOFT,6.0,True,,,16.0,1,False,True,Cadillac
PER,11,50.0,86.085,30.231,18.02,37.834,260.0,295.0,294.0,287.0,3.0,SOFT,7.0,True,,,16.0,1,False,True,Cadillac
PER,11,51.0,86.2,30.231,18.073,37.896,259.0,294.0,294.0,290.0,3.0,SOFT,8.0,True,,,16.0,1,False,True,Cadillac
PER,11,52.0,86.412,30.033,18.306,38.073,260.0,291.0,281.0,292.0,3.0,SOFT,9.0,True,,,16.0,1,False,True,Cadillac
PER,11,53.0,86.13,30.276,18.011,37.843,259.0,296.0,291.0,270.0,3.0,SOFT,10.0,True,,,16.0,1,False,True,Cadillac
PER,11,54.0,89.959,30.045,18.141,41.773,261.0,293.0,293.0,282.0,3.0,SOFT,11.0,True,,,16.0,1,False,True,Cadillac
PER,11,55.0,88.957,32.857,18.015,38.085,256.0,304.0,297.0,283.0,3.0,SOFT,12.0,True,,,16.0,1,False,True,Cadillac
ANT,12,1.0,96.966,,18.757,38.331,234.0,295.0,292.0,232.0,1.0,MEDIUM,1.0,True,,,7.0,1,False,False,Mercedes
ANT,12,2.0,87.129,30.82,18.035,38.274,253.0,292.0,303.0,272.0,1.0,MEDIUM,2.0,True,,,7.0,1,True,True,Mercedes
ANT,12,3.0,85.463,30.586,18.042,36.835,256.0,304.0,289.0,276.0,1.0,MEDIUM,3.0,True,,,6.0,1,True,True,Mercedes
ANT,12,4.0,85.411,29.869,17.795,37.747,260.0,315.0,314.0,280.0,1.0,MEDIUM,4.0,True,,,6.0,1,True,True,Mercedes
ANT,12,5.0,84.499,29.761,18.073,36.665,256.0,307.0,288.0,302.0,1.0,MEDIUM,5.0,True,,,5.0,1,True,True,Mercedes
ANT,12,6.0,84.024,29.534,17.861,36.629,262.0,299.0,281.0,290.0,1.0,MEDIUM,6.0,True,,,4.0,1,True,True,Mercedes
ANT,12,7.0,83.835,29.537,18.052,36.246,261.0,301.0,282.0,283.0,1.0,MEDIUM,7.0,True,,,4.0,1,True,True,Mercedes
ANT,12,8.0,83.683,29.573,17.945,36.165,266.0,299.0,290.0,293.0,1.0,MEDIUM,8.0,True,,,4.0,1,True,True,Mercedes
ANT,12,9.0,83.908,29.601,17.91,36.397,258.0,306.0,296.0,299.0,1.0,MEDIUM,9.0,True,,,4.0,1,False,True,Mercedes
ANT,12,10.0,84.037,29.723,17.879,36.435,265.0,309.0,296.0,298.0,1.0,MEDIUM,10.0,True,,,4.0,1,False,True,Mercedes
ANT,12,11.0,83.89,29.711,17.822,36.357,261.0,310.0,294.0,298.0,1.0,MEDIUM,11.0,True,,,4.0,16,False,False,Mercedes
