GP,Driver,Team,Stint,Compound,TyreLife,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,FreshTyre,LongRunID,CleanLapCount
R01_Australia,ANT,Mercedes,2.0,HARD,20.0,32.0,83.239,29.509,17.78,35.95,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,21.0,33.0,83.017,29.36,17.772,35.885,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,23.0,35.0,83.292,29.604,17.871,35.817,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,24.0,36.0,82.865,29.264,17.788,35.813,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,25.0,37.0,82.966,29.271,17.847,35.848,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,26.0,38.0,82.989,29.155,17.873,35.961,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,27.0,39.0,82.921,29.196,17.847,35.878,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,28.0,40.0,82.672,29.1,17.868,35.704,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,29.0,41.0,82.928,29.162,17.803,35.963,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,30.0,42.0,82.942,29.075,17.803,36.064,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,31.0,43.0,83.015,29.244,17.82,35.951,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,32.0,44.0,83.079,29.252,17.743,36.084,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,33.0,45.0,83.123,29.311,17.763,36.049,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,34.0,46.0,83.038,29.35,17.698,35.99,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,35.0,47.0,83.066,29.276,17.687,36.103,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,36.0,48.0,82.992,29.415,17.461,36.116,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,37.0,49.0,83.245,29.403,17.728,36.114,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,38.0,50.0,82.903,29.148,17.703,36.052,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,39.0,51.0,82.625,29.108,17.706,35.811,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,40.0,52.0,82.558,28.925,17.654,35.979,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,41.0,53.0,82.613,29.088,17.651,35.874,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,42.0,54.0,82.842,29.051,17.58,36.211,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,43.0,55.0,82.928,29.332,17.668,35.928,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,44.0,56.0,82.603,29.022,17.718,35.863,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,45.0,57.0,82.417,28.926,17.66,35.831,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,46.0,58.0,82.653,29.285,17.53,35.838,True,R01_Australia_ANT_S2,40
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,2.0,2.0,87.321,31.318,17.972,38.031,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,3.0,3.0,86.384,30.808,17.827,37.749,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,4.0,4.0,85.92,30.862,17.971,37.087,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,5.0,5.0,86.003,30.282,17.787,37.934,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,6.0,6.0,85.969,30.46,17.915,37.594,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,7.0,7.0,85.195,30.059,17.825,37.311,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,8.0,8.0,86.046,30.659,17.882,37.505,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,9.0,9.0,85.397,30.278,17.817,37.302,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,10.0,10.0,85.668,30.297,18.01,37.361,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,14.0,14.0,85.628,30.797,17.889,36.942,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,15.0,15.0,84.562,29.899,17.9,36.763,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,16.0,16.0,84.563,29.989,17.862,36.712,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,17.0,17.0,84.807,29.903,17.864,37.04,True,R01_Australia_BEA_S1,13
R01_Australia,BEA,Haas F1 Team,2.0,HARD,2.0,20.0,85.186,30.325,18.096,36.765,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,3.0,21.0,84.203,29.657,17.797,36.749,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,4.0,22.0,84.02,29.612,17.74,36.668,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,5.0,23.0,84.968,29.567,17.634,37.767,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,6.0,24.0,84.692,30.072,17.69,36.93,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,7.0,25.0,84.058,29.636,17.814,36.608,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,8.0,26.0,84.155,29.668,17.625,36.862,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,9.0,27.0,84.284,29.726,17.609,36.949,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,10.0,28.0,84.216,29.846,17.628,36.742,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,11.0,29.0,85.315,30.327,17.782,37.206,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,12.0,30.0,84.509,30.01,17.606,36.893,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,13.0,31.0,84.627,29.852,17.853,36.922,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,14.0,32.0,85.006,29.938,17.578,37.49,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,17.0,35.0,84.914,29.802,17.906,37.206,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,18.0,36.0,84.598,29.899,17.866,36.833,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,19.0,37.0,84.5,29.841,17.845,36.814,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,20.0,38.0,85.093,30.271,17.823,36.999,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,21.0,39.0,84.756,29.868,17.623,37.265,True,R01_Australia_BEA_S2,36
