Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 02:23:47.007000,17.9,57.3,1011.8,False,30.2,81,1.3
0 days 02:24:47.017000,17.9,57.8,1011.7,False,30.9,110,0.9
0 days 02:25:47.031000,18.0,57.6,1011.8,False,30.5,146,1.4
0 days 02:26:47.046000,18.0,57.9,1011.7,False,30.6,128,1.5
0 days 02:27:47.045000,17.8,59.2,1011.8,False,30.2,113,1.9
0 days 02:28:47.064000,17.7,59.7,1011.7,False,30.3,134,2.8
0 days 02:29:47.049000,17.6,59.8,1011.8,False,30.0,107,1.5
0 days 02:30:47.054000,17.4,61.3,1011.8,False,29.9,122,1.8
0 days 02:31:47.051000,17.4,61.5,1011.8,False,30.0,133,0.9
0 days 02:32:47.052000,17.3,62.5,1011.8,False,29.8,57,0.3
0 days 02:33:47.058000,17.3,62.8,1011.8,False,30.0,0,0.0
0 days 02:34:47.055000,17.3,61.8,1011.8,False,29.7,136,1.9
0 days 02:35:47.050000,17.3,60.9,1011.8,False,29.2,100,1.2
